CATEGORIA,DESCRIPCION
Limpiadores a Granel,"Cloro, limpiador multiusos (tipo Fabuloso), pino, desengrasante de cocina y ácido muriático."
Lavandería a Granel,"Detergente líquido (tipo Mas Color/Ariel), suavizante de telas (tipo Suavitel) y jabón de pasta."
Artículos de Jarcería,"Escobas, trapeadores, jaladores de agua, cubetas, fibras para trastes y jergas."
Bolsas y Desechables,"Bolsas de basura (varios tamaños), rollos de aluminio, película plástica y bolsas para mandado."
Insecticidas y Control de Plagas,"Gis para hormigas, trampas para ratones, insecticidas en aerosol y pastillas de cloro para baño."
Higiene Personal a Granel,"Jabón de tocador, shampoo y crema a granel, papel higiénico, servilletas y pañuelos."
Aromatizantes y Ambientales,"Aromatizantes en aerosol y gel, sahumerios, inciensos y desodorantes para baño."
Cuidado de Pisos y Muebles,"Ceras para piso, aceite rojo, limpiavidrios y abrillantadores de muebles."
Utensilios de Cocina y Plástico,"Cubetas, jarras, recipientes, cucharones, palanganas y trastes de plástico."
Cepillería y Accesorios,"Cepillos de mano, cepillos para baño, escobetillas, recogedores y guantes de hule."
Productos Desechables de Fiesta,"Vasos, platos, cubiertos desechables, manteles plásticos y popotes."
