CATEGORIA,DESCRIPCION
Escolar y Escritorio,"Cuadernos (raya, cuadro), lápices, plumas, bicolores, colores, juegos de geometría y mochilas."
Papel y Cartulinas,"Hojas blancas/color, cartulinas, papel bond, papel crepé, china, fomi y extendidos."
Pegamentos y Cortes,"Lápiz adhesivo, silicón líquido/barra, cinta adhesiva, tijeras y cúters."
Servicios Digitales e Impresión,"Copias fotostáticas, impresiones (B/N y color), escaneos, engargolados y micas."
Mercería y Manualidades,"Listones, estambre, agujas, hilos, diamantina, botones y fomi moldeable."
Regalos y Envolturas,"Bolsas de regalo, papel de regalo, moños, peluches, tarjetas y envoltura de dulces."
Arte y Dibujo,"Acuarelas, pinceles, plumones, marcadores, gises, plastilina y blocks de dibujo."
Oficina y Archivo,"Folders, carpetas, broches, clips, engrapadoras, perforadoras y sobres."
Cómputo y Accesorios,"Memorias USB, hojas para impresora, tintas/tóner, mouse y audífonos básicos."
Libros y Revistas,"Libros de texto, biblias, libros para colorear, estampas, mapas y revistas."
Fiesta y Decoración,"Globos, piñatas, velas, manteles, platos desechables y artículos de fiesta."
Juguetería Básica,"Juguetes pequeños, sorpresas, figuras coleccionables y juegos de mesa."
