CATEGORIA,DESCRIPCION
Afinación y Motor,"Aceites de motor (mineral y sintético), filtros (aceite, aire, gasolina), bujías, bandas y anticongelante."
Sistema de Frenos,"Balatas (delanteras/traseras), discos, tambores, líquido de frenos y mangueras."
Suspensión y Dirección,"Amortiguadores, rótulas, terminales, varillas, bujes y cubrepolvos."
Sistema Eléctrico,"Baterías, focos (halógeno y LED), fusibles, marchas, alternadores y cables de pasa-corriente."
Químicos y Estética,"Líquido limpia-parabrisas, aflojatodo, silicón de alta temperatura, ceras y abrillantadores."
Accesorios y Herramienta Básica,"Limpiaparabrisas (plumas), dados, llaves de cruz, gatos hidráulicos y aromatizantes."
Sistema de Enfriamiento,"Radiadores, mangueras, termostatos, bombas de agua, tapones y ventiladores."
Encendido y Combustible,"Bobinas, cables de bujías, bombas de gasolina, inyectores y filtros."
Embrague (Clutch),"Kits de clutch, collarines, baleros, cilindros y chicotes."
"Bandas, Cadenas y Poleas","Bandas de distribución y accesorios, tensores, poleas locas y kits de distribución."
Carrocería y Hojalatería,"Espejos, manijas, molduras, calaveras, faros y emblemas."
Lubricantes y Aditivos,"Grasas, aceites de transmisión y diferencial, aditivos y limpiadores de inyectores."
"Llantas, Rines y Accesorios","Válvulas, tapones de rin, birlos, tuercas de seguridad y accesorios de balanceo."
