CATEGORIA,DESCRIPCION
Medicamentos de Venta Libre (OTC),"Analgésicos (paracetamol, ibuprofeno), antiácidos, antigripales y antidiarreicos."
Medicamentos Genéricos (Patente/GI),"Antibióticos, tratamientos para diabetes e hipertensión (requieren receta)."
Material de Curación,"Algodón, alcohol, agua oxigenada, gasas, vendas, curitas, jeringas y cubrebocas."
Higiene y Cuidado Personal,"Desodorantes, champú especial, geles, talcos para pies y toallas sanitarias."
Cuidado del Bebé,"Pañales por paquete y sueltos, fórmulas lácteas, toallitas húmedas y pomadas para rozaduras."
Salud Sexual y Planificación,"Preservativos, pruebas de embarazo y anticonceptivos de emergencia."
Vitaminas y Suplementos,"Multivitamínicos, vitamina C, complejo B, electrolitos y suplementos alimenticios."
Dermocosméticos y Cuidado de la Piel,"Protectores solares, cremas hidratantes, antiacné, cicatrizantes y antiarrugas."
Cuidado Bucal,"Cepillos dentales, pasta, enjuague bucal, hilo dental y fijadores de prótesis."
Naturista y Herbolaria,"Tés medicinales, productos naturales, miel, jaleas y suplementos herbales."
Equipo y Apoyo Médico,"Termómetros, baumanómetros, glucómetros, nebulizadores y básculas."
Ortopedia y Primeros Auxilios,"Vendas elásticas, férulas, rodilleras, muñequeras, cabestrillos y botiquines."
Cuidado de Ojos y Oídos,"Gotas lubricantes, soluciones para lentes de contacto y gotas óticas."
Misceláneos de Mostrador,"Dulces, chicles, pilas, pañuelos desechables y bebidas hidratantes."
