CATEGORIA,DESCRIPCION
Fijación y Tornillería,"Clavos (con/sin cabeza), tornillos, pijas, taquetes, tuercas, rondanas y alambre recocido."
Plomería y Gas,"Tubos (PVC, CPVC, cobre), conexiones (codos, coples), llaves de paso, cinta teflón y pegamento PVC."
Electricidad Residencial,"Cable eléctrico (calibres varios), apagadores, contactos, sockets, focos ahorradores/LED y cinta aislar."
Pinturas y Acabados,"Pintura vinílica, esmaltes, brochas, rodillos, lijas, resanadores y solventes (thinner, aguarrás)."
Herramienta Manual,"Martillos, pinzas (chofer/presión), destornilladores, seguetas, flexómetros y llaves pericas."
Cerrajería y Seguridad,"Candados, chapas para puerta, pasadores, llaves duplicadas y cadenas."
Adhesivos y Selladores,"Pegamentos (cianoacrilato, epóxico, blanco), silicones, selladores y resistol."
Material de Construcción Menor,"Cemento, yeso, cal, pegazulejo, lijas de agua y mallas."
Herramienta Eléctrica,"Taladros, rotomartillos, esmeriladoras, pulidoras y sierras (incluye refacciones)."
"Abrasivos, Brocas y Discos","Discos de corte y desbaste, lijas, brocas para metal/concreto y puntas de atornillar."
Protección Eléctrica de Potencia,"Pastillas (interruptores termomagnéticos), centros de carga, clavijas y multicontactos."
Riego y Jardinería,"Mangueras, aspersores, conexiones de riego, palas, rastrillos y tijeras de podar."
Equipo de Protección Personal,"Guantes, lentes de seguridad, cubrebocas, fajas, cascos y orejeras."
