CATEGORIA,DESCRIPCION
Abarrotes,"Productos de despensa básicos (aceite, arroz, frijol, azúcar, enlatados)"
Bebidas,"Refrescos, aguas, jugos, tés y bebidas energéticas"
Botanas,"Frituras, papas, cacahuates y botanas saladas"
Cremería y Lácteos,"Leche, quesos, crema, mantequilla, yogur y embutidos (jamón, salchicha)"
Limpieza del Hogar,"Detergentes, cloro, limpiadores multiusos, lavatrastes y suavizantes"
Farmacia Básica,"Medicamentos de venta libre (paracetamol, aspirina, antiácidos, curitas)"
Higiene y Cuidado Personal,"Champú, jabón corporal, desodorante, pasta dental y papel higiénico"
Cuidado Bebé,"Pañales, toallitas húmedas, fórmulas lácteas y papillas"
Dulcería,"Chicles, paletas, chocolates, caramelos y dulces tradicionales"
Panadería y Repostería,"Pan de caja, pan dulce empaquetado, pastelitos y galletas"
Cerveza y Licores,"Cervezas, vinos, licores y bebidas preparadas con alcohol"
Tabaco y Encendedores,"Cigarros, vapeadores, cerillos y encendedores"
Alimentos Preparados y Helados,"Helados, paletas de hielo, sándwiches o comida rápida lista para consumir"
Frutas y Verduras,"Perecederos básicos (jitomate, cebolla, limones, papas, plátanos)"
Alimento para Mascotas,Comida seca y húmeda para perros y gatos
Papelería y Mercería,"Cuadernos, lápices, pegamento, hojas blancas, listones e hilos"
Ferretería y Eléctrico,"Pilas, focos, extensiones, cinta aislante y herramientas básicas"
Servicios y Recargas,"Tiempo aire, pago de servicios y comisiones (frecuente en puntos de venta)"
