CATEGORIA,DESCRIPCION
Servicios de Corte y Barbería,"Cortes para caballero, dama, niños, delineado de barba y afeitado tradicional."
Colorimetría y Procesos,"Tintes de cabello, decoloraciones, bases, permanentes y tratamientos de keratina."
Manicure y Pedicure,"Aplicación de uñas de acrílico, gelish, esmaltado clásico y limpieza de pies/manos."
Productos de Reventa,"Ceras para cabello, geles fixers, aceites para barba, tintes de caja y mascarillas capilares."
Desechables e Higiene,"Toallas desechables, navajas de un solo uso, papel cuello, sanitizantes y talco."
Tratamientos Faciales y Corporales,"Limpiezas faciales, depilación con cera, masajes y exfoliaciones."
Aparatología y Equipo,"Secadoras, planchas, tenazas, máquinas de corte, rasuradoras y vaporizadores."
Herramienta de Trabajo,"Tijeras, peines, cepillos, pinzas, capas y rollos de papel aluminio."
Maquillaje y Cosméticos,"Bases, labiales, sombras, rímel, brochas y desmaquillantes."
Insumos para Uñas,"Esmaltes, acrílico, gel, limas, acetona, primers y decoración de uñas."
Cuidado Capilar (Reventa),"Shampoos, acondicionadores, ampolletas, sueros y tratamientos de venta al público."
